comment,label
mới mua máy này tại thế giới di động thốt nốt cảm thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe sóng ổn định giá thành vừa với túi tiền nhân viên tư vấn nhiệt tình,"[('CAMERA', 'Positive'), ('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('PRICE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
pin kém còn lại miễn chê mua 832019 tình trạng pin còn 88 có ai giống tôi không,"[('BATTERY', 'Negative'), ('GENERAL', 'Positive')]"
sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy lúc có lúc không,"[('FEATURES', 'Negative')]"
mọi người cập nhật phần mềm lại nó sẽ bớt tốn pin mình đã thử rồi mọi thứ cũng ok nhưng vân tay không nhạy,"[('FEATURES', 'Negative'), ('BATTERY', 'Neutral'), ('GENERAL', 'Neutral')]"
mới mua xài được 1 tháng thấy pin rất trâu xài bao mượt nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu không biết sao nó không nghe được nữa mất rút tai nghe ra cắm vào lại thì nó mới nghe được,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('SER&ACC', 'Negative')]"
xài tốt rất mượt pin trâu nếu các bạn để độ sáng vừa đủ nhân viên nhiệt tình vui vẻ nói chung là tầm giá này thì máy này là quá tốt rồi,"[('BATTERY', 'Neutral'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mình mới xài được 7 tháng xuống 7 pin chả hiểu máy mới kiểu gì nữa dùng cơ bản lướt web cơ bản game không chơi,"[('BATTERY', 'Negative')]"
hôm qua ngày 2362020 e ra thế giới di động mua chiếc điện thoại galaxy a51 lúc đầu bên cửa hàng báo giá 779000 đ được tặng phiếu mua hàng 250 k lúc thanh toán thì nhân viên lại thanh toán 7990000 đ không có phiếu mua hàng đi 20 km xuống mua thoai tối về đến nhà nhân viên mới gọi đến có xin lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250 k chán quá đúng là làm mất thời gian,"[('SER&ACC', 'Negative')]"
tại sao điện thoại mới mà sạc nó nóng máy lên quá trời t đã tắt tất cả mạng ứng dung game và cấm không cho chạy nền cũng không vừa sạc vừa dùng mà điện thoại nóng quá trời sạc 3 tiếng mới đầy,"[('BATTERY', 'Negative')]"
lúc đầu định mua samsung vào cửa hàng nhân viên tư vấn opo a9 thất vọng thực sự khi dùng opo màn hình hiển thị tối om máy chơi game giật lang khó chịu vl sạc thì lâu không bao giờ dung opo nữa,"[('SCREEN', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('SER&ACC', 'Negative')]"
mọi thứ đều ngon trong tầm giá lần đầu xài xiaomi cảm thấy rất hài lòng về chất lượng,"[('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
khá ổn trong tầm giá cam đẹp sạc nhanh màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời,"[('SCREEN', 'Neutral'), ('CAMERA', 'Positive'), ('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
đi thoại mượt chơi game ngon âm báo thức bật maxloa luôn nghe vẫn nhỏ nhân viên phục vụ nhiệt tình,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Positive'), ('SER&ACC', 'Positive')]"
máy rất tốt trong tầm giá pin trâu màn hình đẹp to camera đẹp chơi các tựa game ở cấu hình vừa phải thì ổn chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm không có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu còn nv phục vụ nhiệt tình và chu đáo,"[('SCREEN', 'Positive'), ('CAMERA', 'Neutral'), ('FEATURES', 'Negative'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mình mua được 1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn bắt sống wifi quá yêu hối hận,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
sản phẩm quá tuyệt vời iphone 7 plus camera đẹp chơi game thì không sợ 1 game nào nặng cả rất mượt nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh máy nóng nhưng không sao iphone 7 plus tuyệt vời lắm rồi,"[('CAMERA', 'Positive'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Neutral'), ('GENERAL', 'Positive')]"
dùng ok mượt không nóng điện thoại có 5 6 triệu mà mở max cấu hình ròi kêu nóng nhân viên nhiệt tình,"[('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mới mua được 1 ngày ck dùng gì6 còn mình dùng con này wifi ck mình lúc nào cũng 3 vạch mà điện thoại này thì lúc 2 vạch lúc 1 vạch lúc đứng luôn không hieur vì sao nữa dùng thấy bực mình,"[('FEATURES', 'Negative')]"
dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán không buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa được đã hỏng,"[('PERFORMANCE', 'Negative')]"
