comment,label
"Máy ok, k chê điểm nào, chính thức là fans ViVo
Mọi chức năng đều như ý mình mong muốn
Lần đầu tiên xài thử vivo","['GENERAL,positive,1.00,5']"
"Mới sài được 3 ngày sản phẩm thì khá là ok , lỗi thì chưa thấy nhưng chỉ có cái nghe gọi thì loa hơi nhỏ phải bật loa ngoài mới nghe được , chụp hình thì đẹp rõ chơi game thì đối với liên quân nha , lúc không giao tranh thì mạng hơi cao nhưng lúc giao tranh chỉ 8ms hoặc ít hơn , còn bubg thì mượt bắn thì khá là đc mạng thì không cao lắm mua tầm giá này chắc là ok pin sài thì 2 ngày sạc 1 lần có chơi game đấy , 1 trận liên quân mấy chục phút mà tuột có 4-5℅ pin thì khá là ok 👌","['CAMERA,positive,0.97,5', 'GENERAL,positive,0.99,5', 'PERFORMANCE,positive,0.54,4', 'BATTERY,positive,0.57,4', 'PRICE,neutral,0.81,3', 'FEATURES,negative,0.49,2']"
Dùng tốt chơi game bao mượt không nóng như lời đồn pin trâu nói chung là tốt rất hài lòng nhân viên vui vẻ nhiệt tình ok..,"['GENERAL,positive,1.00,5', 'PERFORMANCE,positive,0.96,5', 'SERACC,positive,1.00,5', 'BATTERY,positive,0.97,5']"
"Có ai giống mh kg, mh mua ip 7 plus , mấy bị hở viền bên phải. Xong đem máy ra dc đợi lại cái mới. Cái mới bóc ra cùng bị hở nữa những nhẹ hơn cái trước. Máy mấy b xem coi có ai mua bị hở giống mh kg. Buồn thiệt chứ. Đã z mấy còn kêu ọp ẹp khi vận động mạnh. Không biết có ảnh hướng gì về chất lượng máy hok.xài lâu dài hok bịt sao nữa","['DESIGN,negative,0.95,1']"
Ko bjk ngày mai có ra đổi đc ko đây. Mới mua hqua dùng có mùi cháy khet của linh kiện.  Dùng càng lâu mùi khét càng nặng. Jo ko dám dùng luôn. Chưa bjo dùng đt mà lo sợ vãi,"['GENERAL,negative,0.63,1']"
"Sản phẩm rất tốt , mượt mà , pin quá trâu , camera đẹp , chỉ mổi tội không được trang màn hình super amoled , thích cái màn super amoled vì màu đen của nó quá sâu cực sâu lunk","['CAMERA,positive,0.94,5', 'SCREEN,negative,0.44,2', 'GENERAL,positive,1.00,5', 'PERFORMANCE,positive,0.91,5', 'BATTERY,positive,0.95,5']"
"Tôi hiện đang dùng Sam sung S20 Plus (đổi từ Samsung S7 edge khi Hoàng Hà mobile phối hợp Samsung đổi máy cũ lên mới). Qua gần 2 tháng dùng ss20+, gặp vấn đề 3 lần bị treo đơ máy, ảnh chụp khá đẹp nhưng khi đưa ảnh chụp vào lưu trữ khá chậm và ko hơn gì con s7egd cũ của tôi là bao.","['CAMERA,positive,0.97,5', 'PERFORMANCE,negative,0.98,1']"
máy chạy rất tốt hàng rất đản bảo các bạn nhân viên phục vụ rất nhiệt tình tôi thấy rất ưng ý,"['GENERAL,positive,1.00,5', 'SERACC,positive,1.00,5']"
"Mình mới mua A51 được vài ngày,theo mình cảm nhận.
1 máy giá hơi cao so với giá trị của máy
2 pin xài rất kém chưa đến 1 ngày đả hết pin dù chỉ đọc báo.
3 camera quá tệ đúng ra 4 camera mà chụp hình như có 1 camera.
4 xài chút xíu dt sẻ nóng lên ở sao lưng dt.
Tóm lại A51 thật sự thất vọng đối với mình!","['CAMERA,negative,0.91,1', 'GENERAL,negative,0.95,1', 'SERACC,negative,0.59,2', 'BATTERY,negative,0.99,1', 'PRICE,negative,0.88,1']"
"Mình hay mua máy ở tgdd vì máy ở đây bảo đảm và nhân viên phục vụ nhiệt tình. Lần này ra mua con 9s này là đã có điềm rồi. Lúc đầu lấy máy màu xanh bật nguồn ngồi đợi đến 15p máy ko lên luôn, xong đổi ra con máy màu xám. Bật cái lên trong vòng 5 đến 10 giây. Cảm thấy hài lòng và nhận máy đi về. Về xài mới thấy máy hay bị đơ quá. Đang chơi game nặng 1 xíu là đơ máy luôn. Không nhẽ lại ra trả chấp nhận chịu lỗ tiền vậy. Buồn cho ẻm này quá","['GENERAL,positive,0.68,5', 'PERFORMANCE,negative,0.98,1', 'SERACC,positive,0.94,5']"
