id,comment,pagination-url
1617730607-6586,Phòng tắm hơi nhỏ. Trên sàn nhà có nhiều cát chưa được dọn sạch,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=125;rows=25
1617730614-6721,"Mọi thứ, khách sạn trên cả tuyệt vời",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=175;rows=25
1617730625-6939,"Dù tới trễ bị hủy phòng đã đặt nhưng được ks hỗ trợ đặt phòng khác giá không đổi, rất hài lòng ở điểm này",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=250;rows=25
1617730597-6353,Thông báo có máy sấy và bàn ủi nhưng không có,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=50;rows=25
1617730635-7204,Không có thang máy,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=325;rows=25
1617730621-6866,"Phòng sạch sẽ, có ban công, thoáng mát.
Chú chủ vui tính và nhân viên thân thiện.",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=225;rows=25
1617730621-6884,nhà vệ sinh rất rộng và đẹp,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=225;rows=25
1617730625-6944,"Phòng ốc sáng sủa, yên tĩnh. Mình đặc biệt thích và cảm thấy thoải mái với phòng có ban công đây là điểm cộng lớn nhất của khách sạn. Ngoài ra thiết kế phòng tắm rất bắt mắt, hiện đại và đồ dùng cũng được trang bị đầy đủ.",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=250;rows=25
1617730604-6497,Máy lạnh k mát ở lầu 4di cầu thang bộ hơi mệt.,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=100;rows=25
1617730632-7095,Ông chủ rất vui vẻ và thoải mái. Sẽ quay lại đây nếu có dịp,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=300;rows=25
