comment,facility,lecturer,others,training_program
slide giáo trình đầy đủ .,0,0,0,3
đi học đầy đủ full điểm chuyên cần .,0,0,0,1
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,1,0,0
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",0,3,0,0
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",0,3,0,0
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",0,0,2,0
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",0,0,0,1
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0,0,0,1
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,0,0,0,1
thầy rất tận tình và đi dạy rất đúng giờ .,0,3,0,0
dễ bị áp lực .,0,0,1,0
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",0,2,0,0
môn học còn dễ cần nâng độ khó lên nữa .,0,0,0,1
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0,0,0,1
hài lòng về tất cả .,0,0,3,0
"nhiệt tình , vui vẻ .",0,3,0,0
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,0,3,0,0
phong cách giảng bài của thầy rất gần gũi với sinh viên !,0,3,0,0
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,0,0,0,1
tiết học thoải mái .,0,3,0,0
"thầy nhiệt tình , quan tâm tới sinh viên .",0,3,0,0
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",0,3,0,0
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",0,0,0,1
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,0,0,0,3
nên biên soạn một tài liệu của chính trường ta .,0,0,0,1
không giúp đỡ sinh viên trong những vấn đề xung quanh .,0,1,0,0
"bài tập đa dạng , cụ thể .",0,0,0,3
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",0,0,0,1
slide up đầy đủ trước mỗi buổi học .,0,0,0,3
"nội dung giảng dạy quá nhàm chán , khô khan .",0,0,0,1
lượng kiến thức quá nhiều trong một học kỳ .,0,0,0,1
"chúc các thầy cô , anh chị làm việc vui vẻ !",0,0,3,0
"hay , nhiệt tình , dễ hiểu .",0,3,0,0
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",0,3,0,0
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,0,0,0,1
trong khi giảng nói nhỏ quá .,0,1,0,0
thực hành khó hiểu .,0,0,0,1
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",0,3,0,0
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",0,3,0,0
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",0,1,0,0
"thầy nhiệt tình , dễ chịu .",0,3,0,0
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,0,3,0,0
cô rất nhiệt tình và tận dụng tốt thời gian .,0,0,0,3
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",0,3,0,0
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,0,2,0,0
bài tập và có code tham khảo .,0,0,0,3
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",1,0,0,0
tài liệu không chi tiết lắm .,0,0,0,1
thầy dạy rất hay và nhiệt tình .,0,3,0,0
giúp đỡ học sinh quá ít .,0,1,0,0
cô dạy buồn ngủ quá .,0,1,0,0
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,0,0,0,1
thầy tận tình vui tính .,0,3,0,0
tạo hứng thú cho sinh viên .,0,3,0,0
có hứng thú học .,0,3,0,0
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,0,0,0,2
giáo trình quá ít và nội dung không khác nhau là mấy .,0,0,0,1
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",0,1,0,0
"cần có một phòng máy tốt hơn , hiện đại hơn .",1,0,0,0
giảng viên đánh giá sai điểm và năng lực của học sinh .,0,1,0,0
không đáp ứng được đề cương môn học đề ra .,0,0,0,1
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",0,0,0,1
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",0,1,0,0
bài tập và hoạt động nhóm còn ít .,0,0,0,1
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",0,3,0,0
cô hướng dẫn thực hành khá đầy đủ .,0,3,0,0
được học nhiều kinh nghiệm từ thầy wzjwz163 .,0,3,0,0
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,0,0,0,1
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,1,0,0,0
lớp học quá đông !,0,0,0,1
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",0,0,0,1
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",0,0,0,1
tôi cảm thấy giảng viên dạy rất tốt .,0,3,0,0
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,0,0,1,0
coi lại thái độ giảng viên thực hành .,0,1,0,0
bài giảng của thầy rất nhiệt tình .,0,3,0,0
"môn học chưa thực tiễn , chưa thu hút sinh viên .",0,0,0,1
dạy hơi nhanh !,0,1,0,0
ít làm bài tập .,0,0,0,1
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,0,0,0,1
cần thêm nhiều tài liệu cho sinh viên .,0,0,0,1
bài tập trên lớp .,0,0,0,2
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,0,0,0,1
thực hành và lý thuyết nên dạy song song .,0,0,0,1
giảng viên dạy nhanh .,0,1,0,0
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,0,0,0,1
cập nhật bài tập mới .,0,0,0,1
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",0,1,0,0
dạy quá nhanh .,0,1,0,0
mong ban thiết bị sớm khắc phục ạ !,1,0,0,0
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,0,0,0,1
"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",0,1,0,0
không đáp ứng được nhu cầu của sinh viên .,0,0,0,1
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,0,0,0,1
đề thi môn dài sinh viên làm không đủ thời gian .,0,0,1,0
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,1,0,0,0
cần thêm nhiều tài liệu cho môn học .,0,0,0,1
mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,0,1,0,0
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,0,0,0,1
dạy theo sát chương trình .,0,3,0,0
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,1,0,0,0
đề nghị nâng cấp phòng lab khoa mạng .,1,0,0,0
"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",0,3,0,0
có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,0,3,0,0
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,0,0,0,1
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",0,0,0,1
nghiên cứu khoa học .,0,0,2,0
"giáo viên dạy rất tận tâm , nhiệt tình .",0,3,0,0
chỉ thông báo trên lớp sẽ khó tránh sai sót .,0,0,1,0
đề nghị lắp thêm quạt .,1,0,0,0
bài tập cần đa dạng hơn .,0,0,0,1
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,0,0,0,1
làm bài tập nhiều mặc dù không hiểu lắm .,0,0,0,1
"thầy giảng dạy nhiệt tình , truyền cảm .",0,3,0,0
"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",0,3,0,0
truyền đạt những kiến thức tốt .,0,3,0,0
cô vui tính .,0,3,0,0
cô chưa có nhiều kênh bài tập cho sinh viên .,0,1,0,0
bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,0,0,1,0
không thực hành được buổi nào .,0,0,1,0
"ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .",0,0,2,0
"giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên .",0,3,0,0
thầy giảng dạy tận tâm nhiệt tình .,0,3,0,0
"thầy vui tính , giảng bài dễ hiểu , nhiệt tình .",0,3,0,0
thầy giáo dạy nhiệt tình .,0,3,0,0
"dạy dễ hiểu , gần gũi sinh viên .",0,3,0,0
"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",0,3,0,0
mong thầy cố gắng trong các học kỳ sau .,0,1,0,0
cần đưa ra nhiều ví dụ minh họa hơn .,0,0,0,1
không !,0,0,2,0
nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,0,1,0,0
máy tính cập nhật nhanh hơn .,1,0,0,0
"giảng viên tận tâm , nhiệt tình , ham học hỏi .",0,3,0,0
"tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có , như vậy thì kết quả lại không tốt .",0,1,0,0
mong thầy và nhà trường xem xét lại những điều em vừa nói .,0,1,0,0
"thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên .",0,3,0,0
cần tăng cương trao đổi giữa sinh viên và giáo viên .,0,0,0,1
nói chung là nghe không bao giờ nghe rõ được .,0,0,1,0
cách truyền đạt của giáo viên chưa có sức hút đối với sinh viên nhiều cho lắm .,0,1,0,0
chưa tiếp thu trọn vẹn .,0,1,0,0
cần cải tiến trang thiết thực hành .,1,0,0,0
giảng kỹ hơn .,0,1,0,0
còn hơi kéo thời gian .,0,1,0,0
có nhiều bài tập về nhà cơ bản lẫn nâng cao và giảng viên sửa bài đủ .,0,3,0,0
"có kiến thức nền tảng này , sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng , cũng như tiếp thu thay đổi công nghệ mới nhanh chóng .",0,0,3,0
"cấu trúc đề cương của thầy chưa rõ ràng , lý thuyết chưa được trình bày rõ trong các buổi học .",0,0,0,1
tài liệu hỗ trợ toàn tiếng anh rất khó học .,0,0,0,1
chưa nhận được gì từ môn học này .,0,0,1,0
"giảng viên không hề giảng dạy , chỉ đưa đề cương rồi thôi .",0,1,0,0
bài tập mỗi tuần đều có và đầy đủ .,0,0,0,3
em xin cảm ơn .,0,0,3,0
thầy cần phải cho sinh viên biết được học môn này có tác dụng gì và làm được gì khi học xong .,0,1,0,0
đề nghị tăng thời gian thưc hành .,0,0,0,1
không được làm những chuyện riêng trong lúc dạy thực hành .,0,1,0,0
hỗ trợ thêm giáo trình không phải slide cho sinh viên .,1,0,0,0
"kiến thức được giảng viên trình bày rõ ràng , dễ hiểu cho sinh viên .",0,0,0,3
cần thêm nhiều kit để thực hành .,1,0,0,0
dạy khó hiểu quá nhanh .,0,1,0,0
"luôn gần gũi , tham khảo ý kiến sinh viên và thống nhất cũng sinh viên .",0,3,0,0
sắp xếp lịch học bù chưa hợp lý .,0,0,0,1
"nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ 1 của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì , mình có nên chuyển đổi ngành hay không .",0,0,0,1
thời gian thực hành cần nhiều hơn .,0,0,0,1
giảng viên rất nhiệt tình trong giảng dạy .,0,3,0,0
slide chuẩn bị chưa tốt .,0,0,0,1
thầy hay đòi hỏi sinh viên những điều hơi quá cao .,0,1,0,0
cô giảng hướng dẫn nhiệt tình .,0,3,0,0
"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô hình thì lớn và phức tạp .",0,0,1,0
giảng quá nhiều không đánh vào trọng tâm .,0,1,0,0
"em không muốn nói gì nhưng mong thầy xem lại cách đánh giá sinh viên để công bằng hơn , cái sinh viên không biết không phải chỉ ở cúp tiết mà còn ở cách giảng dạy , truyền đạt ở giảng viên , ví dụ như cô wzjwz324 , rất dễ hiểu , tận tâm .",0,1,0,0
cô có nhiều hình thức giảng dạy hay .,0,3,0,0
cần tăng cường nội dung nghe và nói để sinh viên giao tiếp tốt hơn bằng tiếng anh .,0,0,0,1
hỗ trợ thêm về các thiết bị dạy và học .,1,0,0,0
ít giải bài tập trên lớp .,0,1,0,0
chia sẻ .,0,0,0,2
bám sát nội dung chính .,0,0,0,3
cần thêm các đoạn code cho các giải thuật bổ sung các phương pháp để giải quyết các bài toán liệt kê .,0,0,0,1
thông tin đầy đủ về bài tập và các nguồn tham khảo .,0,0,0,3
"thầy giảng rất dễ hiểu và thú vị , thu hút .",0,3,0,0
"đến khi cuối kỳ , chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn .",0,0,0,1
